Client_ID,Client_Type,Region,Product_Count,Monthly_Fee,Trading_Volumes,Usage_Hours,Support_Tickets,Contract_Length,Tenure_Months,Satisfaction_Score,Competitor_Offer,Revenue,Renewal_Probability,Churn_Risk
C001,Broker,Americas,1,3306,21358,222,5,58,29,6,22,3919.59412706367,0.46,0
C002,Asset Manager,Americas,7,1037,4267,212,0,16,40,2,2,892.7436890196926,0.54,0
C003,Bank,APAC,2,2341,83745,261,4,14,41,5,9,2542.132280258954,0.98,0
C004,Broker,Americas,1,5516,90588,238,8,39,11,10,1,5851.824901887947,0.48,0
C005,Broker,APAC,3,2955,39513,173,11,17,23,4,29,2901.300701708235,0.69,1
C006,Asset Manager,EMEA,4,1024,158164,236,13,40,1,9,26,1337.7475374919777,0.76,0
C007,Bank,Americas,1,3450,12338,156,1,40,46,6,22,3957.5399002152317,0.81,0
C008,Bank,EMEA,1,4631,132484,29,16,6,21,2,12,3967.5275181078227,0.73,0
C009,Broker,APAC,2,5280,8543,56,13,45,36,1,12,5037.797114406503,0.41,0
C010,Hedge Fund,Americas,7,4615,106891,242,12,27,54,5,17,5899.267436002325,0.59,0
C011,Broker,APAC,7,2868,165568,23,8,34,57,9,2,2447.240313512727,0.71,0
C012,Broker,EMEA,6,4347,61692,152,14,13,1,6,26,6067.737518758999,0.45,0
C013,Broker,APAC,2,4995,45425,10,14,16,63,10,6,5727.279831704362,0.61,0
C014,Broker,Americas,3,3201,39756,63,10,46,54,7,13,3637.6503438158206,0.42,0
C015,Asset Manager,Americas,7,1471,19888,268,15,42,55,5,19,1786.8022958639053,0.45,0
C016,Bank,EMEA,4,1666,167807,153,16,19,40,10,28,2294.5429424619088,0.63,0
C017,Asset Manager,APAC,2,5711,48295,21,3,35,15,6,29,5959.236870430597,0.48,0
C018,Asset Manager,Americas,1,5429,115352,233,0,40,21,5,16,6919.864784570209,0.73,0
C019,Asset Manager,EMEA,4,3274,84042,281,7,26,47,9,28,3915.7445150855538,0.81,0
C020,Broker,Americas,4,2482,86999,165,16,42,53,6,29,2449.5349165923526,0.87,0
C021,Hedge Fund,Americas,1,1353,18955,17,2,10,9,8,20,1914.55046007697,0.52,0
C022,Bank,APAC,2,4646,38841,131,19,24,52,2,11,6310.188907470052,0.5,0
C023,Hedge Fund,Americas,1,4236,71640,173,14,19,57,9,24,5341.241380129163,0.46,0
C024,Asset Manager,APAC,6,4269,197582,99,14,31,26,5,15,5956.9933810523235,0.78,0
C025,Asset Manager,Americas,4,1074,166983,145,13,9,41,7,23,1511.2317802815796,0.82,0
C026,Hedge Fund,EMEA,5,3761,191103,195,13,30,35,10,11,4873.707208797672,0.42,0
C027,Hedge Fund,Americas,5,1648,139429,187,1,50,63,1,14,2283.978575600332,0.95,0
C028,Hedge Fund,APAC,3,2215,164551,37,12,47,25,10,24,2853.4295013182245,0.43,0
C029,Asset Manager,APAC,7,5277,62476,229,13,30,38,5,9,6733.971996805373,0.72,0
C030,Asset Manager,EMEA,1,5433,45811,50,18,23,2,10,29,6699.0409324901675,0.82,0
C031,Bank,Americas,1,4354,168280,237,6,45,7,2,24,5777.329774043778,0.91,1
C032,Bank,Americas,3,5673,152222,201,2,13,34,6,6,5168.2367336293255,0.82,0
C033,Asset Manager,EMEA,3,2991,72180,154,14,44,17,1,19,4237.079108534796,0.87,1
C034,Hedge Fund,Americas,3,3160,175358,210,13,45,43,3,4,4456.517883372453,0.6,0
C035,Hedge Fund,Americas,4,3624,113856,221,10,19,59,5,0,2973.39450760207,0.88,0
C036,Bank,APAC,6,3551,69450,229,14,37,51,4,29,4893.53269687883,0.45,1
C037,Asset Manager,Americas,1,504,153424,249,12,56,54,3,16,448.6652892446315,0.93,1
C038,Bank,Americas,4,5722,187141,55,17,43,24,10,2,5919.885058849567,0.72,0
C039,Bank,EMEA,3,5815,112888,44,5,38,25,5,12,7678.45035723499,0.88,0
C040,Broker,EMEA,1,5369,111448,262,2,28,71,8,13,4899.383917318357,0.67,0
C041,Broker,APAC,4,1376,15397,91,18,20,52,4,23,1888.6658376314806,0.78,1
C042,Broker,Americas,6,1491,173627,265,14,38,70,1,29,2061.2984415344954,0.71,1
C043,Hedge Fund,Americas,4,4642,179031,206,4,30,33,7,17,5362.565654082461,0.83,0
C044,Asset Manager,Americas,6,4864,132800,19,9,22,49,8,3,3912.942616021475,0.45,0
C045,Asset Manager,APAC,3,4965,182589,295,6,38,29,3,17,4969.60103184941,0.44,1
C046,Asset Manager,APAC,6,1135,120180,251,16,52,63,6,29,1398.1484366495274,0.55,0
C047,Asset Manager,EMEA,1,5725,67234,260,6,7,22,2,4,8512.103608444899,0.49,0
C048,Broker,APAC,3,2193,40954,14,11,19,26,7,24,2724.296945323288,0.91,0
C049,Hedge Fund,Americas,1,2182,179352,128,16,58,28,8,15,2142.4239897173975,0.53,0
C050,Hedge Fund,Americas,5,5252,80459,298,12,45,49,6,0,6532.458566875411,0.98,0
C051,Broker,APAC,2,619,148851,74,19,45,71,6,20,729.1756650308803,0.6,0
C052,Hedge Fund,Americas,6,1330,196004,155,3,56,49,5,13,1790.0360628857147,0.51,0
C053,Broker,Americas,2,4175,156538,233,9,44,20,8,14,3652.650916971786,0.87,0
C054,Asset Manager,APAC,2,5677,169011,248,2,56,63,1,8,7565.84878175281,0.79,0
C055,Broker,APAC,6,1869,167342,186,8,11,61,10,14,2203.339064881955,0.69,0
C056,Asset Manager,Americas,3,1240,60163,276,12,11,49,4,16,1827.8770593496074,0.73,1
C057,Asset Manager,Americas,5,616,52934,291,17,8,71,4,24,640.2152779958815,0.82,1
C058,Bank,Americas,1,3338,196967,72,14,12,1,3,23,4148.584315496783,0.53,1
C059,Broker,EMEA,4,1650,164379,226,3,56,13,3,3,2396.4924618640703,0.99,0
C060,Bank,EMEA,1,2431,55098,292,14,13,51,4,11,2119.240804121739,0.98,0
C061,Broker,EMEA,4,1512,192993,186,1,47,56,1,26,2201.56263089106,0.78,1
C062,Broker,APAC,1,2164,6486,107,14,57,62,2,25,2773.209292141272,0.52,1
C063,Bank,EMEA,6,1581,140407,114,7,20,32,9,4,1339.875273311694,0.8,0
C064,Bank,APAC,5,5229,87900,108,7,52,30,10,28,5284.816944095432,0.44,0
C065,Broker,APAC,4,1012,127020,15,16,34,29,2,4,1311.2691075963176,0.42,0
C066,Hedge Fund,EMEA,7,3349,103795,206,11,38,49,5,10,2837.090015023242,0.55,0
C067,Asset Manager,EMEA,3,5715,143202,142,18,57,45,9,27,6900.972925935182,0.67,0
C068,Bank,EMEA,1,5737,88508,268,9,35,30,9,5,5978.631768417379,0.91,0
C069,Asset Manager,Americas,1,1059,119324,32,8,44,16,8,6,1307.4846733210309,0.83,0
C070,Hedge Fund,EMEA,4,4172,61566,62,4,32,40,1,23,3471.185035546063,0.84,1
C071,Hedge Fund,Americas,3,5083,198775,174,5,41,19,1,13,7167.41510997077,0.65,0
C072,Hedge Fund,APAC,3,5492,28192,211,19,34,18,9,23,8136.080993105585,0.6,0
C073,Bank,Americas,6,3843,2062,92,1,43,1,8,10,5680.778318504038,0.62,0
C074,Hedge Fund,EMEA,7,5808,85076,154,12,38,47,10,29,7694.184487134034,0.98,0
C075,Bank,APAC,6,4570,90780,94,5,42,66,9,12,4072.145882177892,0.42,0
C076,Hedge Fund,APAC,6,5299,153617,87,4,32,38,7,1,7051.825672659524,0.91,0
C077,Asset Manager,APAC,6,1970,22689,10,0,38,51,3,24,1609.9053577966874,0.74,1
C078,Asset Manager,Americas,6,1080,12174,60,5,9,63,3,6,880.725404955922,0.66,0
C079,Broker,EMEA,6,2794,89461,182,5,27,4,2,19,2868.1168666126728,0.83,1
C080,Asset Manager,APAC,5,3647,127174,214,15,7,1,5,3,4165.057200784071,0.69,0
C081,Broker,APAC,3,4749,104033,269,3,15,8,3,26,6360.265379018448,0.92,1
C082,Asset Manager,APAC,6,2179,10348,297,10,10,29,6,7,2785.4304379379023,0.93,0
C083,Bank,Americas,3,4006,155786,43,8,15,55,2,19,4455.200369221678,0.65,1
C084,Asset Manager,Americas,3,5592,39102,104,2,38,3,3,28,5544.684222492953,0.56,1
C085,Broker,EMEA,2,3244,75460,81,18,59,32,5,21,4859.470314958131,0.75,0
C086,Broker,Americas,5,3856,103634,48,7,43,10,1,20,4235.148570995338,0.94,1
C087,Hedge Fund,APAC,6,4545,90930,163,4,18,34,1,18,5072.087817904862,0.52,1
C088,Bank,EMEA,1,1743,7801,259,3,36,55,10,12,1594.0374242359555,0.77,0
C089,Asset Manager,APAC,4,5688,104150,171,5,52,32,9,13,7715.013699302718,0.77,0
C090,Hedge Fund,APAC,7,3618,180208,127,1,41,50,7,9,4651.219605014198,0.83,0
C091,Asset Manager,Americas,1,5604,155697,268,19,50,7,1,10,5349.23503704775,0.48,0
C092,Asset Manager,EMEA,5,2641,176333,277,10,29,8,8,1,2265.0978390300083,0.82,0
C093,Hedge Fund,Americas,4,5553,2542,63,3,57,65,3,24,7087.568837094617,0.94,1
C094,Hedge Fund,Americas,5,3559,22677,245,14,20,57,8,25,4477.783788138592,0.51,0
C095,Hedge Fund,EMEA,3,5048,178804,231,5,34,67,5,8,5003.989864600872,0.54,0
C096,Hedge Fund,APAC,4,5823,182415,260,16,13,59,1,16,8534.214966088897,0.97,1
C097,Hedge Fund,APAC,3,3459,40081,121,5,10,54,7,25,3132.956473369094,0.51,0
C098,Asset Manager,EMEA,1,2765,194928,264,18,34,67,5,2,3048.7840074179558,0.9,0
C099,Hedge Fund,APAC,1,2979,94105,216,1,52,51,6,23,4350.922278325494,0.69,0
C100,Bank,EMEA,4,5146,20065,238,14,9,8,6,5,5628.741741031278,0.55,0
C101,Broker,EMEA,4,2135,89092,75,10,17,34,8,4,2662.2770287839758,0.91,0
C102,Hedge Fund,Americas,6,5908,55693,84,7,50,35,9,4,6370.691392214932,0.66,0
C103,Hedge Fund,EMEA,5,2257,27962,112,18,7,32,2,21,2238.832598190664,0.7,1
C104,Asset Manager,Americas,6,4952,29295,201,12,32,46,9,14,7372.460118887948,0.61,0
C105,Hedge Fund,APAC,5,2570,14807,261,11,36,16,10,22,2792.3918773607625,0.75,0
C106,Hedge Fund,APAC,6,3349,174420,235,4,56,68,9,16,4775.236763184995,0.5,0
C107,Hedge Fund,APAC,3,3751,158504,107,5,56,37,10,8,3604.5918086882252,0.63,0
C108,Asset Manager,APAC,4,4230,189926,295,3,41,54,10,2,4015.003028618272,0.97,0
C109,Hedge Fund,Americas,1,2989,172334,258,18,41,14,7,19,2456.341841619263,0.55,0
C110,Broker,APAC,5,2131,169152,175,19,31,55,1,25,2676.8914034132076,0.79,1
C111,Asset Manager,EMEA,5,3316,133396,39,0,48,48,7,16,3508.223349051594,0.59,0
C112,Broker,EMEA,1,1515,92267,256,19,32,7,10,28,2128.6519239549352,0.86,0
C113,Asset Manager,EMEA,6,1848,167981,115,16,10,7,5,26,2090.5443352961984,0.48,0
C114,Hedge Fund,Americas,5,5111,20870,60,11,25,33,6,9,7552.7056270505,0.97,0
C115,Broker,APAC,7,3587,166650,90,14,16,23,10,2,3335.4360173789673,0.67,0
C116,Asset Manager,APAC,3,3339,27790,142,0,15,19,7,17,4701.432930462649,0.54,0
C117,Bank,APAC,4,835,119874,294,13,45,19,5,17,1121.920860456773,0.44,0
C118,Hedge Fund,Americas,1,5092,26289,147,5,43,36,7,29,6821.4738230492585,0.5,0
C119,Asset Manager,EMEA,4,1395,187201,193,4,11,29,9,16,1940.9308222561408,0.71,0
C120,Bank,EMEA,7,4046,16485,282,10,13,60,3,23,5392.172147148762,0.6,1
C121,Asset Manager,APAC,5,1351,45482,78,3,28,2,8,2,1673.0165581668296,0.89,0
C122,Bank,EMEA,5,2187,87188,43,12,52,1,2,2,1950.5227832439673,0.65,0
C123,Hedge Fund,EMEA,7,2431,5748,271,10,31,47,7,5,2000.1497996402634,0.55,0
C124,Broker,Americas,1,4246,141507,62,2,51,69,2,12,6133.743973277784,0.76,0
C125,Bank,Americas,3,2927,4709,214,0,48,20,4,23,3605.0548294215405,0.82,1
C126,Asset Manager,Americas,2,2068,124961,135,5,17,11,7,28,2807.4673824171127,0.5,0
C127,Hedge Fund,Americas,1,4500,31355,244,17,31,2,3,14,5116.795407264533,0.5,0
C128,Bank,APAC,2,5552,187843,52,9,18,67,2,24,4897.50654558345,0.42,1
C129,Asset Manager,Americas,7,3238,189871,249,4,45,12,10,8,2874.146116606301,0.83,0
C130,Asset Manager,EMEA,6,3998,145188,120,9,23,20,7,3,5117.0230128389985,0.79,0
C131,Asset Manager,APAC,2,5887,157542,258,11,30,5,1,13,6482.847562291196,0.68,0
C132,Bank,EMEA,3,5787,174416,160,1,38,37,8,4,5441.905615390395,0.9,0
C133,Bank,EMEA,6,4413,43918,192,12,52,38,3,1,5048.9847143389725,0.88,0
C134,Bank,EMEA,2,1566,53224,104,7,45,9,2,10,1323.185836821762,0.75,0
C135,Broker,Americas,7,4880,40298,17,1,48,53,3,8,5892.014308939586,0.91,0
C136,Bank,Americas,6,2944,81219,193,19,17,44,5,23,2909.5416078598496,0.52,0
C137,Bank,APAC,7,4607,62629,290,0,49,24,8,2,6257.648343644868,0.47,0
C138,Bank,APAC,2,3873,67040,204,4,41,30,10,26,3939.822306837701,0.56,0
C139,Broker,Americas,7,4469,29016,204,8,53,59,7,27,4999.265192372599,0.43,0
C140,Bank,EMEA,3,3046,24960,164,16,9,14,7,28,2461.577315192052,0.71,0
C141,Asset Manager,APAC,2,1253,34591,102,8,10,9,7,8,1065.9431652846076,0.95,0
C142,Bank,Americas,2,2582,104333,169,10,42,40,8,2,2774.9928538494423,0.42,0
C143,Asset Manager,Americas,2,3274,115821,70,14,13,66,1,24,3719.1238214047034,0.47,1
C144,Asset Manager,Americas,1,3396,199713,131,5,47,25,4,1,4143.168846989209,0.67,0
C145,Asset Manager,EMEA,1,4685,37395,60,2,54,22,6,11,4704.50742687716,0.95,0
C146,Broker,Americas,1,1275,130695,286,16,33,4,9,9,1640.2713333679392,0.59,0
C147,Broker,Americas,3,2125,154772,14,4,36,26,2,8,2979.4320658189417,0.7,0
C148,Broker,Americas,6,3569,35620,101,11,14,58,1,14,4803.501725552256,0.42,0
C149,Bank,Americas,7,917,129148,179,17,59,29,10,7,759.0313239911105,0.49,0
C150,Asset Manager,APAC,5,614,21559,31,13,56,37,2,24,697.7218859314149,0.98,1
